Title	Authors	Year	URL	Scale	Scale Category	Interaction modality	Input distribution	Output distribution	Feedback attributability	Activity type	Participation symmetry
Kinoautomat	Radúz Činčera	1967	http://www.kinoautomat.cz/index.htm?lang=gbr	127	large	facilitated	fully distributed	centralized	high	collaborative	symmetrical
SAM - Sound Activated Mobile	Edward Ihnatowicz	1968	http://www.senster.com/ihnatowicz/SAM/sam.htm	10	small	ambient	centralized	centralized	low	solitary	symmetrical
Glowflow	Myron Krueger	1969	http://dada.compart-bremen.de/item/artwork/1347	20	medium	ambient	centralized	centralized	low	solitary	symmetrical
The Senster	Edward Ihnatowicz	1970	http://www.senster.com/ihnatowicz/senster/index.htm	20	medium	ambient	centralized	centralized	low	solitary	symmetrical
Videoplace	Myron Krueger	1990	http://archive.aec.at/prix/showmode/23842/	3	small	ambient	centralized	centralized	high	solitary	variable
The Fruit Machine	Agnes Hegedüs	1991	https://www.digitalartarchive.at/database/general/work/fruit-machine.html	3	small	facilitated	fully distributed	centralized	high	collaborative	symmetrical
A-Volve	Christa Sommerer and Laurent Mignonneau	1993	http://www.medienkunstnetz.de/works/a-volve/	10	small	direct	centralized	centralized	medium	solitary	symmetrical
Tubulophones	Jean-Robert Sédano and Solveig de Ory	1993	http://www.ludicart.com/tubulophone.html	8	small	direct	fully distributed	fully distributed	high	collaborative	symmetrical
Bar Code Hotel	Perry Hoberman	1994	http://perryhoberman.com/page24/	13	medium	facilitated	fully distributed	centralized	medium	solitary	symmetrical
Resonance of 4	Toshio Iwai	1994	http://www.berylgraham.com/serious/art/iwaihome.html	4	small	facilitated	fully distributed	fully distributed	high	collaborative	symmetrical
Cathartic User Interface (CUI)	Perry Hoberman	1995	http://perryhoberman.com/page30/index.html	10	small	facilitated	centralized	centralized	high	solitary	symmetrical
Hall of Shadows	Luc Courchesne	1996	https://vimeo.com/5979120	4	small	direct	fully distributed	fully distributed	high	solitary	symmetrical
Individual Fancies	Beryl Graham	1997	http://www.berylgraham.com/cv/sub/fancies.htm	4	small	ambient	centralized	centralized	high	collaborative	symmetrical
Landscape One	Luc Courchesne	1997	http://www.fondation-langlois.org/html/e/page.php?NumPage=127	4	small	facilitated & ambient	partially distributed	centralized	high	solitary	symmetrical
Light Around the Edges	Todd Winkler	1997	http://www.brown.edu/Departments/Music/sites/winkler/lightaroundedges/	200	large	ambient	centralized	centralized	variable	solitary	symmetrical
World Skin	Maurice Benayoun	1997	http://benayoun.com/moben/1997/02/12/world-skin-a-photo-safari-in-the-land-of-war/	6	small	facilitated	fully distributed	centralized	high	collaborative	asymmetrical
Boundary Functions	Scott Snibbe	1998	https://www.snibbe.com/projects/interactive/boundaryfunctions/	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Composition on the Table 	Toshio Iwai	1998	http://www.siggraph.org/artdesign/gallery/S99/artists/Toshio_Iwai.html	4	small	direct	centralized	centralized	high	collaborative	symmetrical
Text Rain	Camille Utterback, Romy Achituv	1999	http://camilleutterback.com/projects/text-rain/	2	small	ambient	centralized	centralized	high	solitary	symmetrical
Autopoiesis	Kenneth Rinaldo	2000	http://www.kenrinaldo.com/portfolio/autopoiesis/	100	large	ambient	fully distributed	fully distributed	medium	solitary	symmetrical
Bubbles	Wolfgang Münch and Kiyoshi Furukawa	2000	http://zkm.de/en/artwork/bubbles	4	small	ambient	centralized	centralized	high	solitary	symmetrical
